cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire,web_label,statut_autorisation,commentaire
TERBMDE,2051,TERBUMÉTON-DÉSETHYL,Terbuméton-désethyl,30125-64-5,pesticide,metabolite,pertinent,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de Vmax en 2021,,,,Terbuméton-désethyl,Interdit,
FLUQUIN,2056,FLUQUINCONAZOLE,Fluquinconazole,136426-54-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fluquinconazole,,
FENAMID,2057,FÉNAMIDONE,Fénamidone,161326-34-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,90,µg/L,Vmax établie par l'Anses en 2013,,,,Fénamidone,,
PHNTN,2061,PHENOTHRINE,Phenothrine,26002-80-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Phenothrine,,
PYRETHR,2062,PYRÉTHRINE,Pyréthrine,8003-34-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyréthrine,,
TRBNURO,2064,TRIBENURON-MÉTHYLE,Tribenuron-méthyle,101200-48-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2017,,,,Tribenuron-méthyle,,
OXDG,2068,OXADIARGYL,Oxadiargyl,39807-15-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Oxadiargyl,,
QUIZO,2069,QUIZALOFOP,Quizalofop,76578-12-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Quizalofop,,
QUIZOET,2070,QUIZALOFOP ÉTHYLE,Quizalofop éthyle,76578-14-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Quizalofop éthyle,,
TMT,2071,THIOMÉTON,Thiométon,640-15-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thiométon,,
BENOXA,2074,BENOXACOR,Benoxacor,98730-04-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Benoxacor,,
FOMESAF,2075,FOMESAFEN,Fomesafen,72178-02-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,7.5,µg/L,Vmax établie par l'Anses en 2013,,,,Fomesafen,,
MESOTRI,2076,MÉSOTRIONE,Mésotrione,104206-82-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,22,µg/L,Vmax établie par l'Anses en 2020,,,,Mésotrione,,
SULFOSA,2077,SULFOSATE,Sulfosate,81591-81-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Sulfosate,,
FENBUOX,2078,FENBUTATIN OXYDE,Fenbutatin oxyde,13356-08-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenbutatin oxyde,,
MCPPP,2084,MÉCOPROP-P,Mécoprop-p,16484-77-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mécoprop-p,,
SULFRN,2085,SULFOSULFURON,Sulfosulfuron,141776-32-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Sulfosulfuron,,
QUINMR,2087,QUIMERAC,Quimerac,90717-03-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,240,µg/L,Vmax établie par l'Anses en 2013,,,,Quimerac,Autorisé,
MEPIQU1,2089,MEPIQUAT CHLORURE (UTILISER MEPIQUA,Mepiquat chlorure (utiliser MEPIQUA),24307-26-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mepiquat chlorure (utiliser MEPIQUA),,
IMAZAPY,2090,IMAZAPYR,Imazapyr,81334-34-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Imazapyr,,
ETHPH,2093,ETHEPHON,Ethephon,16672-87-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ethephon,Autorisé,
CLODINA,2095,CLODINAFOP-PROPARGYL,Clodinafop-propargyl,105512-06-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Clodinafop-propargyl,,
TRINEXA,2096,TRINÉXAPAC-ÉTHYL,Trinéxapac-éthyl,95266-40-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Trinéxapac-éthyl,,
CHLOMEQ,2097,CHLOROMÉQUAT CHLORURE (UTILISER CLM,Chloroméquat chlorure (utiliser CLMQ),999-81-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,68,µg/L,Vmax établie par l'Anses en 2020,,,,Chloroméquat chlorure (utiliser CLMQ),,
PROSULF,2534,PROSULFURON,Prosulfuron,94125-34-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2013,,,,Prosulfuron,,
DCPP,2544,DICHLORPROP-P,Dichlorprop-P,15165-67-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dichlorprop-P,,
PACLOBU,2545,PACLOBUTRAZOLE,Paclobutrazole,76738-62-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Paclobutrazole,,
DIMETAC,2546,DIMÉTACHLORE,Dimétachlore,50563-36-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,220,µg/L,Vmax établie par l'Anses en 2026,,,,Dimétachlore,Autorisé,
FPYRM,2547,FLUROXYPIR-MEPTYL,Fluroxypir-meptyl,81406-37-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,2400,µg/L,Vmax établie par l'Anses en 2013,,,,Fluroxypir-meptyl,,
FLUPYR,2565,FLUPYRSULFURON-MÉTHYLE,Flupyrsulfuron-méthyle,144740-54-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Flupyrsulfuron-méthyle,,
FURATHI,2567,FURATHIOCARBE,Furathiocarbe,65907-30-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Furathiocarbe,,
MEFLUID,2568,MÉFLUIDIDE,Méfluidide,53780-34-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Méfluidide,,
PYRAC,2576,PYRACLOSTROBINE,Pyraclostrobine,175013-18-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyraclostrobine,,
MESOSUL,2578,MÉSOSULFURON-MÉTHYL,Mésosulfuron-méthyl,208465-21-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,3000,µg/L,Vmax établie par l'Anses en 2017,,,,Mésosulfuron-méthyl,,
SPIROX,2664,SPIROXAMINE,Spiroxamine,118134-30-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Spiroxamine,,
PICOX,2669,PICOXYSTROBINE,Picoxystrobine,117428-22-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Picoxystrobine,,
TRIFLX,2678,TRIFLOXYSTROBINE,Trifloxystrobine,141517-21-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Trifloxystrobine,,
MITC,2722,MÉTHYL ISOTHIOCYANATE,Méthyl isothiocyanate,556-61-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Méthyl isothiocyanate,Interdit,
CYCLOXY,2729,CYCLOXYDIME,Cycloxydime,101205-02-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cycloxydime,,
GFSTNH3,2731,GLUFOSINATE-AMMONIUM,Glufosinate-ammonium,77182-82-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,13,µg/L,Vmax établie par l'Anses en 2020,,,,Glufosinate-ammonium,,
NORFLDM,2737,DESMETHYLNORFLURAZON,Desmethylnorflurazon,23576-24-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,45,µg/L,Vmax établie par l'Anses en 2013,,,,Desmethylnorflurazon,,
IPPMU,2738,DESMÉTHYLISOPROTURON,Desméthylisoproturon,34123-57-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Desméthylisoproturon,,
FENAZAQ,2742,FÉNAZAQUIN,Fénazaquin,120928-09-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fénazaquin,,
FENHEXA,2743,FENHEXAMID,Fenhexamid,126833-17-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenhexamid,,
FOSTHIA,2744,FOSTHIAZATE,Fosthiazate,98886-44-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fosthiazate,,
MCPA1B,2745,MCPA-1-BUTYL ESTER,MCPA-1-butyl ester,1713-12-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPA-1-butyl ester,,
MCPA2EH,2746,MCPA-2-ETHYLHEXYL,MCPA-2-ethylhexyl,29450-45-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPA-2-ethylhexyl,,
MCPABU,2747,MCPA-BUTOTYL,MCPA-butotyl,19480-43-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPA-butotyl,,
MCPA2E,2748,MCPA-ETHYL ESTER,MCPA-ethyl ester,2698-38-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPA-ethyl ester,,
MCPAME,2749,MCPA-METHYL ESTER,MCPA-methyl ester,2436-73-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPA-methyl ester,,
MCPO,2750,MECOPROP-1-OCTYL ESTER,Mecoprop-1-octyl ester,161922-37-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mecoprop-1-octyl ester,,
MCP244,2751,"MCPP-2,4,4-TRIMETHYLPENTYL ESTER","MCPP-2,4,4-trimethylpentyl ester",217487-13-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"MCPP-2,4,4-trimethylpentyl ester",,
MCP2BE,2752,MCPP-2-BUTOXYETHYL ESTER,MCPP-2-butoxyethyl ester,23359-62-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPP-2-butoxyethyl ester,,
MCP2EE,2753,MCPP- 2-ETHYLHEXYL ESTER,MCPP- 2-ethylhexyl ester,71526-69-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPP- 2-ethylhexyl ester,,
MCP2OE,2754,MCPP-2 OTYL ESTER,MCPP-2 otyl ester,28473-03-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPP-2 otyl ester,,
MCPME,2755,MCPP-METHYL ESTER,MCPP-methyl ester,2786-19-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,MCPP-methyl ester,,
FORASUL,2806,FORAMSULFURON,Foramsulfuron,173159-57-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Foramsulfuron,,
ISOXADI,2807,ISOXADIFEN-ÉTHYLE,Isoxadifen-éthyle,163520-33-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Isoxadifen-éthyle,,
FLORAS,2810,FLORASULAM,Florasulam,145701-23-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Florasulam,,
IPPU,2847,1-(4-ISOPROPYLPHENYL)-URÉE,1-(4-isopropylphenyl)-urée,56046-17-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,1-(4-isopropylphenyl)-urée,,
ZOXAMID,2858,ZOXAMIDE,Zoxamide,156052-68-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Zoxamide,,
RESM,2859,RESMETHRINE,Resmethrine,10453-86-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Resmethrine,,
IMAZAQU,2860,IMAZAQUINE,Imazaquine,81335-37-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Imazaquine,,
MCPNIB,2870,MECOPROP-N/ISO-BUTYL ESTER (MÉLANGE),Mecoprop-n/iso-butyl ester (mélange),,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mecoprop-n/iso-butyl ester (mélange),,
IOXYM,2871,IOXYNIL-MÉTHYL,Ioxynil-méthyl,3336-40-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ioxynil-méthyl,,
24DIE,2872,"2,4-D-ISOPROPYL ESTER","2,4-D-isopropyl ester",94-11-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2,4-D-isopropyl ester",,
24DME,2873,"2,4-D-METHYL ESTER","2,4-D-methyl ester",1928-38-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"2,4-D-methyl ester",,
CYROMAZ,2897,CYROMAZINE,Cyromazine,66215-27-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cyromazine,,
TRCYCLA,2898,TRICYCLAZOLE,Tricyclazole,41814-78-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tricyclazole,,
BENFURA,2924,BENFURACARBE,Benfuracarbe,82560-54-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Benfuracarbe,,
DCLORMI,2929,DICHLORMIDE,Dichlormide,37764-25-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dichlormide,,
MEFENPD,2930,MEFENPYR DIETHYL,Mefenpyr diethyl,135590-91-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mefenpyr diethyl,,
BENZENA,2932,2-ETHYL-6-METHYLANILINE,2-ethyl-6-methylaniline,24549-06-02,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,2-ethyl-6-methylaniline,,
DODINE,2933,DODINE,Dodine,03/10/2439,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dodine,,
AZIMSUL,2937,AZIMSULFURON,Azimsulfuron,120162-55-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Azimsulfuron,,
CINIDON,2938,CINIDON-ETHYL,Cinidon-ethyl,142891-20-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cinidon-ethyl,,
ENDRAL,2941,ENDRINE ALDÉHYDE,Endrine aldéhyde,7421-93-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Endrine aldéhyde,,
3KETCA,2942,3-KETOCARBOFURAN,3-Ketocarbofuran,16709-30-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,3-Ketocarbofuran,,
CHLFLUA,2950,CHLORFLUAZURON,Chlorfluazuron,71422-67-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorfluazuron,,
IPROVAL,2951,IPROVALICARB,Iprovalicarb,140923-17-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Iprovalicarb,,
DCPADH,2966,CHLORTHAL-DIMÉTHYL,Chlorthal-diméthyl,1861-32-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorthal-diméthyl,,
COUMAF,2972,COUMAFÈNE,Coumafène,81-81-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Coumafène,,
SMETOLA,2974,S-MÉTOLACHLORE,S-Métolachlore,87392-12-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,10,µg/L,Vmax établie par l'Anses en 2017,,,,S-Métolachlore,Interdit,
CARBOX,2975,CARBOXINE,Carboxine,5234-68-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Carboxine,,
CARFENE,2976,CARFENTRAZONE ÉTHYLE,Carfentrazone éthyle,128639-02-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Carfentrazone éthyle,,
CCHOLIN,2977,CHLORURE DE CHOLINE,Chlorure de choline,67-48-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de valeur sanitaire en 2021,,,,Chlorure de choline,,
CLETHO,2978,CLETHODIME,Clethodime,99129-21-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,355,µg/L,Vmax établie par l'Anses en 2020,,,,Clethodime,,
DEHAME,2980,DESMEDIPHAME,Desmediphame,13684-56-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Desmediphame,,
DCHLOPH,2981,DICHOROPHÈNE,Dichorophène,97-23-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dichorophène,,
DICOUM,2982,DIFENACOUM,Difenacoum,56073-07-05,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Difenacoum,,
DILONE,2983,DIFETHIALONE,Difethialone,104653-34-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Difethialone,,
